location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,36998.106060606064
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,46153.846153846156
Uttarahalli,3 BHK,1440.0,2.0,62.0,3,43055.555555555555
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,62458.90861275476
Kothanur,2 BHK,1200.0,2.0,51.0,2,42500.0
Whitefield,2 BHK,1170.0,2.0,38.0,2,32478.63247863248
Old Airport Road,4 BHK,2732.0,4.0,204.0,4,74670.5710102489
Rajaji Nagar,4 BHK,3300.0,4.0,600.0,4,181818.18181818182
Marathahalli,3 BHK,1310.0,3.0,63.25,3,48282.442748091606
Gandhi Bazar,6 Bedroom,1020.0,6.0,370.0,6,362745.09803921566
Whitefield,3 BHK,1800.0,2.0,70.0,3,38888.88888888889
Whitefield,4 Bedroom,2785.0,5.0,295.0,4,105924.5960502693
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,38000.0
Gottigere,2 BHK,1100.0,2.0,40.0,2,36363.63636363636
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,65777.77777777778
Mysore Road,2 BHK,1175.0,2.0,73.5,2,62553.1914893617
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,40677.96610169492
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3,38961.03896103896
Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,3,104693.14079422383
Manayata Tech Park,2 BHK,1100.0,2.0,48.0,2,43636.36363636364
Kengeri,1 BHK,600.0,1.0,15.0,1,25000.0
Binny Pete,3 BHK,1755.0,3.0,122.0,3,69515.66951566952
Thanisandra,4 Bedroom,2800.0,5.0,380.0,4,135714.2857142857
Bellandur,3 BHK,1767.0,3.0,103.0,3,58290.88851160159
 Thanisandra,1 RK,510.0,1.0,25.25,1,49509.80392156863
Mangammanapalya,3 BHK,1250.0,3.0,56.0,3,44800.0
Electronic City,2 BHK,660.0,1.0,23.1,2,35000.0
Whitefield,3 BHK,1610.0,3.0,81.0,3,50310.55900621118
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,42371.85056472632
Electronic City,3 BHK,1025.0,2.0,47.0,3,45853.65853658537
Yelahanka,4 BHK,2475.0,4.0,186.0,4,75151.51515151515
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3,32558.13953488372
Hebbal,3 BHK,1760.0,2.0,123.0,3,69886.36363636363
